Quý,Năm,Tiền và các khoản tương đương tiền,Các khoản đầu tư tài chính ngắn hạn,Các khoản phải thu ngắn hạn,Hàng tồn kho,Tài sản ngắn hạn khác,Các khoản phải thu dài hạn,Tài sản cố định,Tài sản dở dang dài hạn,Bất động sản đầu tư,Đầu tư tài chính dài hạn,Tài sản dài hạn khác,Nợ ngắn hạn,Nợ dài hạn,Vốn chủ sở hữu,Nguồn kinh phí và quỹ khác,Debt Ratio,D/E,Asset Leverage,Equity/Asset,Long Debt/Equity,Financial Leverage,Current Ratio,Quick Ratio,Tổng tài sản,Tổng tài sản YoY,Tài sản dài hạn,Tài sản dài hạn YoY,Tài sản ngắn hạn,Tài sản ngắn hạn YoY,Tổng nguồn vốn,Tổng nguồn vốn YoY,Vốn chủ sở hữu,Vốn chủ sở hữu YoY,Nợ phải trả,Nợ phải trả YoY
2,2016,"3,338,278,599,995","1,124,858,666,667","5,993,544,487,545","5,358,798,565,916","1,696,967,179,196","3,584,526,579,081","10,802,581,788,311","3,055,619,508,551",,"1,354,509,375,866","1,965,877,876,182","17,369,133,864,984","10,454,562,132,343","10,451,866,629,983",,0.726931078,2.662079127,3.662079127,0.273068922,1.000257897,2.662079127,1.008251052,0.699726827,3.83E+13,0,1.64E+13,0,1.75E+13,0,3.83E+13,0,1.05E+13,0,2.78E+13,0
3,2016,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,"2,595,820,204,436","5,874,858,666,667","5,936,584,340,215","4,813,177,097,691","1,713,681,760,906","4,926,842,076,687","12,538,299,704,615","2,860,499,204,474",,"3,806,550,536,511","1,760,083,946,529","17,980,096,223,526","10,511,248,218,172","18,335,053,097,033",,0.608446217,1.553927567,2.553927567,0.391553783,0.573287035,1.553927567,1.164294218,0.896599483,4.68E+13,0,1.92E+13,0,2.09E+13,0,4.68E+13,0,1.83E+13,0,2.85E+13,0
1,2017,"2,094,407,525,134","5,874,858,666,667","11,093,742,547,656","5,618,845,410,631","1,719,855,690,173","193,215,966,736","12,392,429,668,044","2,072,181,565,216",,"3,921,487,950,463","1,899,969,370,194","20,045,766,979,948","8,879,007,817,656","17,956,219,563,310",,0.616982963,1.610849917,2.610849917,0.383017037,0.494480912,1.610849917,1.317071573,1.036770728,4.69E+13,4.00E+13,1.45E+13,1.57E+13,2.64E+13,1.79E+13,4.69E+13,4.00E+13,1.80E+13,1.39E+13,2.89E+13,2.61E+13
2,2017,"2,616,373,356,453","6,335,500,000,000","5,942,489,150,755","4,666,908,147,526","1,757,933,598,832","6,233,750,966,025","12,842,915,476,188","3,468,833,296,713",,"3,069,211,764,247","1,751,461,267,817","21,176,791,321,574","8,804,013,007,608","18,704,572,695,374",,0.615807172,1.602859622,2.602859622,0.384192828,0.470687738,1.602859622,1.006724953,0.786346517,4.87E+13,3.83E+13,2.08E+13,1.64E+13,2.13E+13,1.75E+13,4.87E+13,3.83E+13,1.87E+13,1.05E+13,3.00E+13,2.78E+13
3,2017,"2,059,794,927,693","6,268,472,324,629","6,464,065,482,839","5,849,659,780,434","1,819,903,280,546","7,309,874,697,206","12,622,396,416,728","2,707,197,084,208",,"2,981,808,374,230","1,944,267,400,054","23,091,557,539,395","8,513,053,095,780","18,422,829,133,392",,0.631745514,1.715513421,2.715513421,0.368254486,0.462092604,1.715513421,0.97273195,0.719407341,5.00E+13,0,2.19E+13,0,2.25E+13,0,5.00E+13,0,1.84E+13,0,3.16E+13,0
4,2017,"1,937,028,931,860","3,971,500,000,000","7,257,853,544,606","3,927,539,938,242","1,575,903,406,562","10,087,172,356,665","14,453,535,992,675","3,233,004,113,449",,"3,508,696,521,478","2,014,319,329,418","21,959,384,315,601","11,548,706,082,859","18,458,463,736,495",,0.644801083,1.815323901,2.815323901,0.355198917,0.625659115,1.815323901,0.850198054,0.671343316,5.20E+13,4.68E+13,2.66E+13,1.92E+13,1.87E+13,2.09E+13,5.20E+13,4.68E+13,1.85E+13,1.83E+13,3.35E+13,2.85E+13
1,2018,"1,960,713,454,856","2,471,500,000,000","7,379,375,647,541","3,918,521,338,540","1,498,349,892,626","11,803,648,628,926","14,502,357,617,778","2,434,895,718,300",,"3,638,354,199,634","2,080,017,613,783","20,444,136,049,549","12,908,589,759,969","18,335,008,302,466",,0.645273514,1.819073396,2.819073396,0.354726486,0.704040573,1.819073396,0.842709141,0.651039445,5.17E+13,4.69E+13,2.84E+13,1.45E+13,1.72E+13,2.64E+13,5.17E+13,4.69E+13,1.83E+13,1.80E+13,3.34E+13,2.89E+13
2,2018,"2,589,314,970,034","2,098,000,000,000","7,264,360,030,181","3,892,832,493,061","1,542,764,177,294","12,441,870,281,003","13,953,536,356,236","2,603,988,367,130",,"2,758,066,276,626","1,850,421,474,967","19,913,736,039,080","13,351,197,386,197","17,730,221,001,255",,0.652315574,1.876171393,2.876171393,0.347684426,0.753019231,1.876171393,0.873129564,0.677644775,5.10E+13,4.87E+13,2.82E+13,2.08E+13,1.74E+13,2.13E+13,5.10E+13,4.87E+13,1.77E+13,1.87E+13,3.33E+13,3.00E+13
3,2018,"7,452,403,491,459","4,964,000,000,000","7,620,845,939,743","4,436,739,640,204","1,615,360,372,897","13,702,250,591,567","13,642,946,477,856","2,055,079,603,050",,"1,694,896,371,893","1,844,245,961,893","21,325,486,902,793","13,165,385,541,197","24,537,896,006,572",,0.58430615,1.405616538,2.405616538,0.41569385,0.536532779,1.405616538,1.223388219,1.015339528,5.90E+13,5.00E+13,2.92E+13,2.19E+13,2.61E+13,2.25E+13,5.90E+13,5.00E+13,2.45E+13,1.84E+13,3.45E+13,3.16E+13
4,2018,"3,678,318,752,551","7,154,000,000,000","7,208,043,333,127","4,852,879,053,228","1,509,993,509,234","15,082,496,525,052","13,942,965,899,636","1,238,618,871,449",,"1,442,099,256,069","1,905,086,535,662","17,235,971,751,400","15,734,070,463,039","25,044,459,521,569",,0.56830691,1.31646052,2.31646052,0.43169309,0.628245559,1.31646052,1.415831669,1.134276377,5.80E+13,5.20E+13,3.09E+13,2.66E+13,2.44E+13,1.87E+13,5.80E+13,5.20E+13,2.50E+13,1.85E+13,3.30E+13,3.35E+13
1,2019,"3,236,241,699,037","6,889,000,000,000","6,049,640,520,532","3,505,011,609,974","1,499,464,211,890","17,918,898,329,268","13,222,915,802,987","2,782,797,007,951",,"2,382,537,940,169","1,957,379,736,277","17,653,499,783,663","16,819,129,189,966","24,971,257,884,456",,0.579918824,1.38049229,2.38049229,0.420081176,0.673539526,1.38049229,1.199725737,1.001180879,5.94E+13,5.17E+13,3.31E+13,2.84E+13,2.12E+13,1.72E+13,5.94E+13,5.17E+13,2.50E+13,1.83E+13,3.45E+13,3.34E+13
2,2019,"3,623,039,880,916","6,218,000,000,000","7,102,796,413,931","4,081,271,990,581","1,463,357,091,108","17,107,272,494,752","13,118,725,254,259","2,357,529,355,152",,"2,171,655,341,605","1,879,125,384,094","15,116,048,953,279","18,892,501,241,386","25,114,223,011,733",,0.57521913,1.354154981,2.354154981,0.42478087,0.75226302,1.354154981,1.487721126,1.217725177,5.91E+13,5.10E+13,3.21E+13,2.82E+13,2.25E+13,1.74E+13,5.91E+13,5.10E+13,2.51E+13,1.77E+13,3.40E+13,3.33E+13
3,2019,"3,846,729,233,089","6,112,000,000,000","9,210,984,452,040","4,375,163,536,265","1,562,937,616,740","16,177,048,102,862","13,161,898,408,527","2,220,475,063,653",,"2,489,934,246,502","2,152,415,316,346","17,852,862,318,847","17,553,786,267,787","25,902,937,389,390",,0.577505916,1.366897045,2.366897045,0.422494084,0.677675509,1.366897045,1.406374753,1.16130685,6.13E+13,5.90E+13,3.15E+13,2.92E+13,2.51E+13,2.61E+13,6.13E+13,5.90E+13,2.59E+13,2.45E+13,3.54E+13,3.45E+13
4,2019,"4,830,183,052,466","5,691,000,000,000","7,170,440,942,204","3,575,297,774,539","1,500,874,801,794","18,717,397,915,198","13,408,430,054,005","2,771,491,534,617",,"2,123,301,771,160","2,033,436,281,850","18,913,517,574,091","17,793,576,680,737","25,114,759,873,005",,0.593755959,1.461574566,2.461574566,0.406244041,0.708490815,1.461574566,1.203784356,1.014750362,6.18E+13,5.80E+13,3.42E+13,3.09E+13,2.28E+13,2.44E+13,6.18E+13,5.80E+13,2.51E+13,2.50E+13,3.67E+13,3.30E+13
1,2020,"3,777,640,045,853","5,787,000,000,000","9,429,440,880,253","2,237,933,572,076","1,541,831,506,921","21,068,769,659,133","10,547,404,574,274","2,150,050,749,461",,"2,726,663,060,038","1,903,588,632,431","15,229,684,563,124","16,335,527,762,116","29,605,110,355,200",,0.516021674,1.06620823,2.06620823,0.483978326,0.551780675,1.06620823,1.495359008,1.348413511,6.12E+13,5.94E+13,3.35E+13,3.31E+13,2.28E+13,2.12E+13,6.12E+13,5.94E+13,2.96E+13,2.50E+13,3.16E+13,3.45E+13
2,2020,"3,717,277,566,620","6,428,000,000,000","9,304,432,152,859","2,107,333,115,921","1,283,246,311,448","20,097,363,806,194","9,651,439,176,926","1,919,549,035,469",,"2,947,587,664,166","1,872,894,695,697","12,419,863,803,954","17,472,569,656,219","29,436,690,065,127",,0.503840807,1.015482155,2.015482155,0.496159193,0.593564345,1.015482155,1.839012851,1.669338437,5.93E+13,5.91E+13,3.16E+13,3.21E+13,2.28E+13,2.25E+13,5.93E+13,5.91E+13,2.94E+13,2.51E+13,2.99E+13,3.40E+13
3,2020,"4,397,967,879,829","6,624,433,435,616","9,665,112,709,181","2,483,433,854,085","1,180,253,780,534","19,205,354,416,170","9,966,594,648,622","1,425,130,539,975",,"3,641,286,463,069","2,028,681,694,085","14,889,155,710,663","14,231,804,113,794","31,497,289,596,709",,0.480399221,0.924554468,1.924554468,0.519600779,0.451842184,0.924554468,1.63549916,1.468704353,6.06E+13,6.13E+13,3.12E+13,3.15E+13,2.44E+13,2.51E+13,6.06E+13,6.13E+13,3.15E+13,2.59E+13,2.91E+13,3.54E+13
4,2020,"4,884,832,096,245","6,632,433,435,616","11,988,617,549,655","1,983,230,223,052","1,092,103,004,229","15,338,930,403,767","10,343,549,114,849","1,005,976,813,962",,"3,775,384,356,636","1,959,203,713,001","15,970,117,759,748","12,765,060,567,775","30,269,082,383,489",,0.487001752,0.949324395,1.949324395,0.512998248,0.421719443,0.949324395,1.664434584,1.540250764,5.90E+13,6.18E+13,2.76E+13,3.42E+13,2.66E+13,2.28E+13,5.90E+13,6.18E+13,3.03E+13,2.51E+13,2.87E+13,3.67E+13
1,2021,"5,245,664,092,175","6,384,275,234,612","11,981,958,558,480","2,125,559,862,645","1,116,602,455,562","14,194,054,097,762","10,455,684,320,268","1,214,993,546,386",,"2,291,116,373,420","1,708,974,373,294","16,788,384,840,816","11,053,773,638,561","28,876,724,435,227",,0.490879881,0.964173016,1.964173016,0.509120119,0.382791811,0.964173016,1.599561867,1.472952912,5.67E+13,6.12E+13,2.64E+13,3.35E+13,2.69E+13,2.28E+13,5.67E+13,6.12E+13,2.89E+13,2.96E+13,2.78E+13,3.16E+13
2,2021,"5,273,447,740,328","6,488,275,234,612","12,835,656,174,307","1,901,216,931,900","1,273,826,897,757","13,140,274,002,091","9,922,137,144,211","1,388,071,933,575",,"1,161,030,748,063","1,843,949,141,880","16,837,752,375,190","9,657,174,970,934","28,732,958,602,600",,0.479738214,0.922109265,1.922109265,0.520261786,0.33610096,0.922109265,1.64941391,1.536499972,5.52E+13,5.93E+13,2.49E+13,3.16E+13,2.78E+13,2.28E+13,5.52E+13,5.93E+13,2.87E+13,2.94E+13,2.65E+13,2.99E+13
3,2021,"5,582,981,768,428","6,522,888,945,371","13,323,949,723,460","1,772,198,158,021","1,429,959,601,013","11,877,984,322,772","9,450,672,517,458","1,257,249,841,646",,"1,412,290,615,930","1,455,835,255,606","16,109,086,029,805","8,880,053,048,963","29,096,871,670,937",,0.462025924,0.858825628,1.858825628,0.537974076,0.305189271,0.858825628,1.777380675,1.66736834,5.41E+13,6.06E+13,2.28E+13,3.12E+13,2.86E+13,2.44E+13,5.41E+13,6.06E+13,2.91E+13,3.15E+13,2.50E+13,2.91E+13
4,2021,"6,149,490,089,685","6,443,699,352,124","13,912,796,371,147","1,721,927,904,702","799,637,398,305","10,886,361,994,877","9,326,594,245,262","1,019,904,334,070",,"756,047,136,259","1,397,650,069,001","15,411,008,368,926","8,941,872,756,182","28,061,227,770,324",,0.464624538,0.867848026,1.867848026,0.535375462,0.318655792,0.867848026,1.883559493,1.771825864,5.24E+13,5.90E+13,2.16E+13,2.76E+13,2.90E+13,2.66E+13,5.24E+13,5.90E+13,2.81E+13,3.03E+13,2.44E+13,2.87E+13
1,2022,"6,071,335,355,197","9,171,742,578,794","14,066,291,798,936","1,815,270,817,752","876,011,332,614","7,286,524,551,492","8,899,186,217,528","1,113,849,484,790",,"918,711,373,611","1,882,391,253,313","15,094,015,351,476","7,044,119,781,789","29,963,179,630,762",,0.424905499,0.738844656,1.738844656,0.575094501,0.235092533,0.738844656,2.120088733,1.999824458,5.21E+13,5.67E+13,1.81E+13,2.64E+13,3.20E+13,2.69E+13,5.21E+13,5.67E+13,3.00E+13,2.89E+13,2.21E+13,2.78E+13
2,2022,"6,829,389,964,566","9,103,140,064,338","17,379,521,132,463","1,707,197,763,329","878,621,813,363","4,060,123,667,776","8,909,752,282,787","943,638,520,504",,"998,459,109,885","1,812,440,197,898","14,521,569,234,347","7,311,446,576,467","30,789,268,706,095",,0.414900569,0.709111217,1.709111217,0.585099431,0.237467367,0.709111217,2.472037984,2.354475086,5.26E+13,5.52E+13,1.48E+13,2.49E+13,3.59E+13,2.78E+13,5.26E+13,5.52E+13,3.08E+13,2.87E+13,2.18E+13,2.65E+13
3,2022,"7,469,713,740,172","9,253,500,444,417","18,373,698,895,755","2,317,418,247,110","857,579,119,879","4,100,803,095,984","8,745,507,635,290","1,045,654,075,160",,"836,751,408,469","1,701,519,950,106","16,931,682,985,076","5,717,466,826,007","32,052,996,801,259",,0.414044991,0.70661567,1.70661567,0.585955009,0.178375422,0.70661567,2.260372491,2.123503743,5.47E+13,5.41E+13,1.45E+13,2.28E+13,3.83E+13,2.86E+13,5.47E+13,5.41E+13,3.21E+13,2.91E+13,2.26E+13,2.50E+13
4,2022,"7,819,344,672,129","9,071,894,921,704","14,624,766,244,695","2,148,623,162,041","720,913,998,816","3,108,600,609,244","9,851,835,234,432","570,186,605,388",,"877,859,597,438","1,465,080,824,512","16,545,821,683,436","4,539,392,752,501","29,173,891,434,462",,0.419530234,0.72274261,1.72274261,0.580469766,0.15559778,0.72274261,2.07820099,1.948342032,5.03E+13,5.24E+13,1.44E+13,2.16E+13,3.44E+13,2.90E+13,5.03E+13,5.24E+13,2.92E+13,2.81E+13,2.11E+13,2.44E+13
1,2023,"8,518,257,990,283","9,119,200,000,000","14,981,026,894,760","1,951,143,989,365","851,874,795,808","2,162,216,425,156","10,092,811,217,706","476,993,871,878",,"952,592,574,866","1,396,686,715,811","16,608,175,432,727","4,203,675,836,863","29,690,953,206,043",,0.412092981,0.700949246,1.700949246,0.587907019,0.141581033,0.700949246,2.132775139,2.015294204,5.05E+13,5.21E+13,1.37E+13,1.81E+13,3.54E+13,3.20E+13,5.05E+13,5.21E+13,2.97E+13,3.00E+13,2.08E+13,2.21E+13
2,2023,"8,193,119,397,301","9,622,315,000,000","12,511,301,384,221","2,453,567,719,032","956,557,266,471","1,864,348,787,178","9,768,902,525,680","825,194,000,230",,"942,991,639,467","1,286,569,651,380","16,119,787,245,172","3,554,955,334,607","28,750,124,791,181",,0.406294197,0.684335902,1.684335902,0.593705803,0.123650084,0.684335902,2.09288499,1.940676547,4.84E+13,5.26E+13,1.29E+13,1.48E+13,3.37E+13,3.59E+13,4.84E+13,5.26E+13,2.88E+13,3.08E+13,1.97E+13,2.18E+13
3,2023,"8,984,683,874,740","11,237,120,156,164","11,943,237,946,185","2,827,815,035,891","1,103,521,256,463","1,842,091,534,762","9,957,713,961,028","1,147,452,272,684",,"632,217,857,705","1,127,500,080,048","16,927,449,570,647","3,961,196,199,326","29,914,708,205,697",,0.411166668,0.698273425,1.698273425,0.588833332,0.132416341,0.698273425,2.132416825,1.965361828,5.08E+13,5.47E+13,1.29E+13,1.45E+13,3.61E+13,3.83E+13,5.08E+13,5.47E+13,2.99E+13,3.21E+13,2.09E+13,2.26E+13
4,2023,"8,900,862,523,230","14,215,182,007,744","10,944,320,309,111","2,514,299,769,920","1,037,651,419,993","1,584,172,002,964","10,575,256,722,911","970,507,245,775",,"629,267,223,837","999,831,888,272","17,945,902,820,115","4,062,692,024,519","30,362,756,269,123",,0.420241112,0.724854972,1.724854972,0.579758888,0.133805113,0.724854972,2.095872044,1.955767654,5.24E+13,5.03E+13,1.32E+13,1.44E+13,3.76E+13,3.44E+13,5.24E+13,5.03E+13,3.04E+13,2.92E+13,2.20E+13,2.11E+13
1,2024,"10,378,641,973,896","16,316,430,000,000","11,096,845,338,194","2,513,454,246,989","1,000,106,403,868","401,679,503,208","10,662,895,923,998","1,297,418,788,824",,"690,563,104,632","1,009,817,821,212","18,764,499,497,796","4,489,054,835,833","32,114,298,771,192",,0.419982951,0.724087252,1.724087252,0.580017049,0.139783679,0.724087252,2.201256579,2.067309268,5.54E+13,5.05E+13,1.21E+13,1.37E+13,4.13E+13,3.54E+13,5.54E+13,5.05E+13,3.21E+13,2.97E+13,2.33E+13,2.08E+13
2,2024,"11,162,946,639,406","18,355,365,000,000","9,905,583,601,818","2,499,350,188,943","1,035,529,235,046","355,124,067,082","10,687,499,783,747","1,450,268,293,175",,"680,164,135,333","1,009,399,330,132","18,515,783,687,883","5,115,529,232,044","33,509,917,354,755",,0.41355975,0.705203557,1.705203557,0.58644025,0.152657172,0.705203557,2.320116469,2.185131624,5.71E+13,4.84E+13,1.21E+13,1.29E+13,4.30E+13,3.37E+13,5.71E+13,4.84E+13,3.35E+13,2.88E+13,2.36E+13,1.97E+13
3,2024,"12,517,577,633,087","20,505,675,000,000","9,000,932,644,890","2,898,358,032,144","1,194,839,325,619","169,891,243,663","10,189,534,263,520","1,450,530,424,660",,"656,087,586,558","1,079,673,171,601","20,601,650,731,297","5,000,675,918,930","34,060,772,675,515",,0.429114929,0.751666056,1.751666056,0.570885071,0.146816279,0.751666056,2.238528516,2.097842798,5.97E+13,5.08E+13,1.14E+13,1.29E+13,4.61E+13,3.61E+13,5.97E+13,5.08E+13,3.41E+13,2.99E+13,2.56E+13,2.09E+13
4,2024,"13,376,730,196,292","23,487,420,000,000","7,981,486,163,061","2,767,551,058,852","1,044,968,631,795","142,842,684,250","11,493,487,175,729","1,473,203,771,415",,"644,759,288,710","1,008,443,916,727","22,452,716,494,342","5,101,865,087,267","35,866,311,305,222",,0.434471675,0.768258028,1.768258028,0.565528325,0.142246718,0.768258028,2.167138932,2.043877631,6.34E+13,5.24E+13,1.26E+13,1.32E+13,4.87E+13,3.76E+13,6.34E+13,5.24E+13,3.59E+13,3.04E+13,2.76E+13,2.20E+13
